name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
DJ Tonias,33,553,9.769919915226917e-05,0.2611352231236214,0.0757575757575757,0.0003316749585406,12,13,563,1,0
DJ RaMeMes (O DESTRUIDOR DO FUNK),40,18432,0.0001461056761133,0.2147939456571579,0.0326797385620915,0.0004975124378109,18,19,678,1,0
PEDRO SAMPAIO,74,2693519,0.000145742810172,0.1899398848239664,0.0333333333333333,0.0005804311774461,21,21,1361,1,0
Gloria Groove,74,3417735,0.0001694951598711,0.2102643279016579,0.0052631578947368,0.0005527915975677,20,18,1021,0,0
Mc Carol,50,249197,0.0001967249787262,0.2104899069515008,0.0,0.0006080707573244,22,22,683,1,0
Vitão,59,908811,0.000123884861353,0.1856144997216609,0.0147058823529411,0.0004698728579325,17,18,895,1,0
Betty Who,50,297504,4.5101927207013067e-05,0.1796654658861755,0.1,0.0001381978993919,5,6,247,1,0
Brabo,32,1074,0.0001900231408921,0.1831592589267874,0.0086580086580086,0.0006080707573244,22,23,936,1,0
Lexa,55,2598424,9.93979199207721e-05,0.1872143326997659,0.0659340659340659,0.0003869541182974,14,14,762,1,0
Lukinhas,54,14024,0.0001657913569483,0.1857835370390106,0.0173160173160173,0.0006080707573244,22,21,1019,1,0
CHAMELEO,39,31234,8.545526062807503e-05,0.179106209902772,0.0444444444444444,0.0002763957987838,10,11,416,1,0
CyberKills,42,8223,0.000212010710067,0.1788929287316605,0.0095238095238095,0.0005804311774461,21,22,587,1,0
Rina Sawayama,59,1035434,6.972546396622262e-05,0.1887347762705621,0.0444444444444444,0.0002763957987838,10,8,536,1,0
Ivete Sangalo,65,2132877,2.9116044135022165e-05,0.1794293285899292,0.0,0.0001105583195135,4,4,269,0,0
Dilsinho,75,4202990,8.874304015544197e-05,0.1843063019067866,0.0641025641025641,0.000359314538419,13,10,700,0,0
Rennan da Penha,54,178890,0.0002151837759243,0.1829669853398181,0.0,0.0006357103372028,23,23,859,0,0
MARINA,74,5704703,7.551810179036641e-05,0.2118423617631984,0.0222222222222222,0.0002763957987838,10,11,618,1,0
Empress Of,55,137683,0.0001095046315036,0.2120938906239098,0.0476190476190476,0.0004145936981757,15,12,569,0,0
S.Pri Noir,56,571333,0.0001885612438923,0.2075850116392477,0.0058479532163742,0.0005251520176893,19,19,955,1,0
Disiz,58,301918,3.762144074350801e-05,0.2070141049824677,0.0,0.0001105583195135,4,5,306,1,0
Eddy de Pretto,56,552252,3.639567955721074e-05,0.2578792384411348,0.1666666666666666,0.0001105583195135,4,5,236,1,0
Ichon,43,75018,5.72473088734342e-05,0.2067959104966462,0.0,0.0001381978993919,5,6,226,1,0
Claire Laffut,43,125804,7.132582154853736e-05,0.2579236984624168,0.1428571428571428,0.000221116639027,8,9,290,1,0
Molitor,34,1534,0.0002051689500187,0.2068376061027214,0.0058479532163742,0.0005251520176893,19,18,478,0,0
Rema,79,5553267,0.0001618892464137,0.2176968657310673,0.0079051383399209,0.0006357103372028,23,19,1144,0,0
Jok'air,66,1235771,0.0001066165762535,0.2085496091968611,0.0,0.0003316749585406,12,11,535,0,0
Puggy,43,51062,8.023435671089157e-05,0.2578940567450489,0.0357142857142857,0.000221116639027,8,8,93,0,0
Zwangere Guy,48,62161,0.0001714806307319,0.2076222235801309,0.0073529411764705,0.0004698728579325,17,16,591,0,0
Vitaa,63,1302826,6.982207037429627e-05,0.2086041341879362,0.0357142857142857,0.000221116639027,8,8,520,0,0
LaCrême,18,700,2.6093954774716515e-05,0.2578755341312285,0.3333333333333333,8.291873963515754e-05,3,3,59,0,0
Ria Sean,30,8685,7.463648062027698e-05,0.2070439487250768,0.0,0.0001934770591487,7,7,286,0,0
Benny Adam,32,2699,0.0001075802014301,0.2585012157972512,0.0128205128205128,0.000359314538419,13,12,403,0,0
Malory,16,1530,4.29367576877165e-05,0.2579181401213944,0.4,0.0001381978993919,5,4,72,0,0
Jen Jis,20,11313,8.530817504925851e-05,0.2582074918783428,0.0444444444444444,0.0002763957987838,10,10,361,0,0
Billie Eilish,96,100730714,7.365266246118898e-05,0.2599102833907081,0.0151515151515151,0.0003316749585406,12,13,899,1,1
Charli xcx,89,4259115,0.0002488764998975,0.2183482207055541,0.0225225225225225,0.0010226644555002,37,34,2216,2,0
ROSALÍA,82,8361731,5.461922067672715e-05,0.2151246928907508,0.0444444444444444,0.0002763957987838,10,10,843,3,0
Justin Bieber,91,78227182,5.092398798768196e-05,0.2151762626866625,0.0833333333333333,0.0002487562189054,9,4,361,0,0
Khalid,85,16392488,7.974857136758528e-05,0.2157309073264709,0.0329670329670329,0.0003869541182974,14,7,462,0,0
Sofi Tukker,69,836208,0.0001217663282605,0.2154913746385975,0.0130718954248366,0.0004975124378109,18,15,852,0,0
Vince Staples,69,1944911,5.931507854407202e-05,0.2089841760609948,0.0,0.000221116639027,8,8,480,0,0
Selena Gomez,83,51003104,6.345457965572071e-05,0.216856677426551,0.0,0.0002763957987838,10,8,653,0,0
OneRepublic,85,17553734,8.814511941604384e-05,0.2178461215425638,0.0659340659340659,0.0003869541182974,14,11,778,1,0
YUNGBLUD,71,2438103,6.308459304805612e-05,0.2104812693419579,0.0,0.000221116639027,8,7,459,0,0
ヴァリアス・アーティスト,0,12100,4.12428960134624e-05,0.2069031617511321,0.0,0.0001381978993919,5,1,0,0,0
Hans Zimmer,79,4181060,0.0001738495808686,0.2211782346667603,0.0105263157894736,0.0005527915975677,20,16,718,1,0
Isabel LaRosa,76,1883039,9.759661114548654e-06,0.2065615370392314,0.0,2.763957987838585e-05,1,2,138,0,0
Valexus,62,26051,0.000115995867353,0.2605950570708105,0.125,0.0004698728579325,17,18,988,0,0
Day Wave,49,142969,6.254114054333859e-05,0.2049871620459547,0.0666666666666666,0.0001658374792703,6,6,261,0,0
Lawrence Rothman,34,9791,6.138799925711843e-05,0.2053964187050742,0.1428571428571428,0.0001934770591487,7,7,294,0,0
The Turning,32,3069,6.30069554596824e-05,0.206659028929533,0.0952380952380952,0.0001934770591487,7,7,281,0,0
Lokoy,26,4408,0.0001213607303657,0.2051581711121096,0.0,0.0003040353786622,11,11,319,0,0
Megan Thee Stallion,83,9838493,0.0001778732030973,0.2253327875496373,0.0238095238095238,0.0007739082365948,28,28,1925,2,1
OG Ron C,51,50482,0.0002391476268028,0.2134582195914437,0.0183908045977011,0.0008291873963515,30,27,1069,0,0
GloRilla,79,1210149,9.330756088489543e-05,0.2167480206467767,0.1083333333333333,0.0004422332780541,16,13,935,1,0
RM,78,17142153,0.0001435654014653,0.1870027415008291,0.0166666666666666,0.0004422332780541,16,17,1058,1,0
