name,popularity,followers,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Ms Banks,49,203885,21,361,1,0
Rejjie Snow,60,429388,9,255,1,0
grouptherapy.,43,93044,5,111,0,0
Buddy,58,248681,14,370,1,0
Cheat Codes,67,2107914,19,632,0,0
Shift K3Y,53,97237,16,53,0,0
Iggy Azalea,70,6631114,9,297,1,0
THEY.,53,357432,8,338,1,0
6LACK,74,4754301,11,347,0,0
Tarro,56,32013,12,408,1,0
ZHU,64,929099,12,176,0,0
MAKJ,53,129327,17,132,0,0
Kaskade,65,959098,3,65,0,0
Ka Reem,38,311,23,520,3,0
Leo Teran,16,2930,13,267,3,0
Sebastian Hansson,21,915,15,154,1,0
Shilpa Golwalkar,3,179,15,58,1,0
AnyMoreZ,9,65,6,76,1,0
Sergio Ochoa,42,2418,26,296,1,0
AN3M,39,2319,14,188,1,0
ILSE,42,1198,28,223,1,0
Odarka,23,556,20,69,1,0
Luwian,20,564,5,87,1,0
Chris Sonic,0,82,3,34,1,0
Mahmut Rafi,22,270,2,47,1,0
WhiteCapMusic,42,3218,31,405,2,0
Kremor,27,1088,12,328,3,0
Margad,50,1516,27,150,0,0
Love Kr3w,27,6444,19,364,3,0
Ruben Arthur,30,7148,18,165,1,0
Powered Djs,30,1133,29,147,1,0
FSDW,42,3686,25,103,1,0
stay:us,30,4314,30,704,2,0
Skuado,34,2731,21,397,2,0
Arya mewada,0,87,3,19,1,0
Sickvision,0,5,4,19,1,0
RAVEJAXX,2,229,9,24,1,0
Kjue,2,84,3,21,1,0
Arya Mewada,0,0,3,19,1,0
CloudyGeekingGz,28,141,8,72,0,0
NotSoulz,13,244,6,72,0,0
TbhDxrza7,31,944,8,72,0,0
Arhard,9,60,11,56,1,0
Interplay Records,10,270,12,56,1,0
ONENESS,32,220,8,108,1,0
André Salvador,10,1029,5,47,1,0
lowr.,5,66,2,42,1,0
Per Nord,6,773,10,43,1,0
Bonac,0,23,3,37,1,0
Wurme,26,862,7,87,1,0
Marc Rain,24,310,3,87,1,0
Marcel Martenez,5,1226,9,42,1,0
Danny EVIZA,6,77,3,73,1,0
Strixter,27,1697,11,64,1,0
Nico Kreißl,1,40,2,38,1,0
Matt Fortress,5,234,6,111,1,0
Poleis Records,29,356,27,106,1,0
Axson,5,247,2,42,1,0
Achilles,40,7603,23,235,1,0
Couddio,6,2686,8,106,1,0
Bokanowski,4,491,5,41,1,0
Ben Wide,11,470,15,48,1,0
John Beat,20,1907,4,57,1,0
Lupage,56,17484,25,301,1,0
Cuish,39,719,26,429,2,0
The Pleasurerz,0,5,2,37,1,0
Odssey,28,612,13,251,1,0
Ferrigno,35,589,18,324,2,0
Glasi,26,1402,5,63,1,0
Corti Organ,39,5567,11,116,1,0
Nik Stone,36,2561,10,36,0,0
Jon Fierce,7,1328,6,145,1,0
Coca Dillaz,3,271,5,65,1,0
Sanzach,22,692,8,59,1,0
Duncan Sparks,27,221,10,124,1,0
Noa Hope,28,491,12,88,1,0
Steve Hartz,23,1361,13,150,1,0
Sheezan,19,568,16,209,2,0
Brodie Nero,9,168,8,65,1,0
jeonghyeon,44,21325,17,131,0,0
Monroe & Moralezz,23,7688,16,78,1,0
Bast Maro,2,1396,3,39,1,0
NIVEK,46,1844,14,398,1,0
Santi,37,633,16,120,1,0
Foínix,60,1674,20,440,0,0
DIBA,6,1366,7,49,1,0
Simone Rossi,6,226,16,91,1,0
Pronex,1,146,8,62,1,0
Juliann James & Mzrin,24,207,5,61,1,0
Otnicka,51,114101,8,115,1,0
Josh Charm,27,5311,9,115,1,0
SFINX,16,1422,13,53,1,0
Tindergarden,7,126,6,70,1,0
Miami Boys,26,1611,13,70,1,0
Sixth Sense,12,851,22,262,2,0
Maadrhino,44,3589,15,44,0,0
Denmatt,12,75,6,97,2,0
Kesha,81,8240402,7,363,0,0
A. G. Cook,64,164562,11,273,0,0
Bladee,70,526283,6,228,0,0
Julian Casablancas,65,571186,10,154,0,0
Bon Iver,80,3707969,9,362,0,0
The 1975,78,7423160,4,233,0,0
